TransactionID,CustomerID,Age,Gender,Marital Status,Income,Date,ProductID,Product Name,Price_x,Qty,TotalAmount,StoreID,StoreName,GroupStore,Type,Latitude,Longitude
TR54818,322,41,0,Married,"20,01",2022-05-21,P5,Thai Tea,4200,2,8400,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR75017,322,41,0,Married,"20,01",2022-04-12,P5,Thai Tea,4200,3,12600,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR38731,322,41,0,Married,"20,01",2022-08-06,P10,Cheese Stick,15000,2,30000,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR69704,322,41,0,Married,"20,01",2022-04-12,P4,Potato Chip,12000,4,48000,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR79718,322,41,0,Married,"20,01",2022-03-02,P5,Thai Tea,4200,3,12600,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR71697,322,41,0,Married,"20,01",2022-09-25,P8,Oat,16000,3,48000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR99528,322,41,0,Married,"20,01",2022-10-22,P9,Yoghurt,10000,2,20000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR24260,322,41,0,Married,"20,01",2022-03-06,P10,Cheese Stick,15000,2,30000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR38222,322,41,0,Married,"20,01",2022-12-14,P3,Crackers,7500,2,15000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR10617,221,23,1,Single,"7,5",2022-05-08,P9,Yoghurt,10000,3,30000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR69555,221,23,1,Single,"7,5",2022-08-01,P4,Potato Chip,12000,3,36000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR96588,221,23,1,Single,"7,5",2022-07-10,P3,Crackers,7500,1,7500,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR42437,221,23,1,Single,"7,5",2022-08-05,P10,Cheese Stick,15000,4,60000,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR93452,221,23,1,Single,"7,5",2022-02-18,P8,Oat,16000,2,32000,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513
TR39910,221,23,1,Single,"7,5",2022-11-28,P7,Coffee Candy,9400,2,18800,14,Priangan,Priangan,Modern Trade,-5.45,105.26667
TR66435,221,23,1,Single,"7,5",2022-02-28,P4,Potato Chip,12000,3,36000,14,Priangan,Priangan,Modern Trade,-5.45,105.26667
TR65269,221,23,1,Single,"7,5",2022-10-02,P1,Choco Bar,8800,9,79200,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR25292,221,23,1,Single,"7,5",2022-10-15,P8,Oat,16000,1,16000,13,Buana,Buana,General Trade,-1.26916,116.825264
TR43584,221,23,1,Single,"7,5",2022-08-14,P1,Choco Bar,8800,3,26400,13,Buana,Buana,General Trade,-1.26916,116.825264
TR49863,221,23,1,Single,"7,5",2022-02-27,P2,Ginger Candy ,3200,6,19200,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR10750,377,53,0,Single,"10,39",2022-09-03,P5,Thai Tea,4200,2,8400,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR73100,377,53,0,Single,"10,39",2022-02-19,P10,Cheese Stick,15000,3,45000,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR3028,377,53,0,Single,"10,39",2022-02-28,P2,Ginger Candy ,3200,6,19200,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR33357,377,53,0,Single,"10,39",2022-04-05,P7,Coffee Candy,9400,5,47000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR76496,377,53,0,Single,"10,39",2022-06-08,P2,Ginger Candy ,3200,6,19200,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR42701,377,53,0,Single,"10,39",2022-06-27,P5,Thai Tea,4200,3,12600,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR33040,377,53,0,Single,"10,39",2022-12-28,P5,Thai Tea,4200,3,12600,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR59229,377,53,0,Single,"10,39",2022-08-14,P3,Crackers,7500,5,37500,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR29538,377,53,0,Single,"10,39",2022-06-30,P5,Thai Tea,4200,2,8400,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR22148,377,53,0,Single,"10,39",2022-03-19,P8,Oat,16000,3,48000,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR85559,377,53,0,Single,"10,39",2022-10-09,P1,Choco Bar,8800,3,26400,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR90484,377,53,0,Single,"10,39",2022-08-21,P5,Thai Tea,4200,4,16800,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR11531,308,45,0,Married,"10,72",2022-09-09,P7,Coffee Candy,9400,2,18800,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR38558,308,45,0,Married,"10,72",2022-02-15,P2,Ginger Candy ,3200,6,19200,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR78822,308,45,0,Married,"10,72",2022-10-22,P7,Coffee Candy,9400,5,47000,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR82591,308,45,0,Married,"10,72",2022-01-30,P9,Yoghurt,10000,7,70000,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR31261,308,45,0,Married,"10,72",2022-03-06,P1,Choco Bar,8800,5,44000,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR3228,308,45,0,Married,"10,72",2022-09-23,P8,Oat,16000,1,16000,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR70458,308,45,0,Married,"10,72",2022-08-22,P10,Cheese Stick,15000,2,30000,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR52019,308,45,0,Married,"10,72",2022-07-19,P9,Yoghurt,10000,5,50000,13,Buana,Buana,General Trade,-1.26916,116.825264
TR50090,308,45,0,Married,"10,72",2022-05-05,P10,Cheese Stick,15000,3,45000,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR11801,186,34,1,Married,"4,02",2022-04-06,P1,Choco Bar,8800,2,17600,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR39096,186,34,1,Married,"4,02",2022-02-27,P5,Thai Tea,4200,4,16800,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR19126,186,34,1,Married,"4,02",2022-10-24,P2,Ginger Candy ,3200,6,19200,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR70505,186,34,1,Married,"4,02",2022-09-09,P1,Choco Bar,8800,4,35200,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR78733,186,34,1,Married,"4,02",2022-04-10,P4,Potato Chip,12000,2,24000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR95571,186,34,1,Married,"4,02",2022-06-14,P10,Cheese Stick,15000,4,60000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR41323,186,34,1,Married,"4,02",2022-11-08,P2,Ginger Candy ,3200,7,22400,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR15270,186,34,1,Married,"4,02",2022-08-02,P5,Thai Tea,4200,3,12600,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR81230,186,34,1,Married,"4,02",2022-02-09,P2,Ginger Candy ,3200,7,22400,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513
TR4354,186,34,1,Married,"4,02",2022-12-13,P10,Cheese Stick,15000,3,45000,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR74737,186,34,1,Married,"4,02",2022-11-19,P10,Cheese Stick,15000,2,30000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR33538,186,34,1,Married,"4,02",2022-10-29,P4,Potato Chip,12000,3,36000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR11869,245,26,1,Married,"4,58",2022-11-21,P10,Cheese Stick,15000,5,75000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR99327,245,26,1,Married,"4,58",2022-05-19,P5,Thai Tea,4200,4,16800,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR64677,245,26,1,Married,"4,58",2022-10-20,P2,Ginger Candy ,3200,6,19200,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR66253,245,26,1,Married,"4,58",2022-06-01,P5,Thai Tea,4200,4,16800,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR5340,245,26,1,Married,"4,58",2022-03-26,P1,Choco Bar,8800,6,52800,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR71964,245,26,1,Married,"4,58",2022-04-04,P1,Choco Bar,8800,7,61600,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR24709,245,26,1,Married,"4,58",2022-06-29,P9,Yoghurt,10000,4,40000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR50819,245,26,1,Married,"4,58",2022-06-11,P3,Crackers,7500,2,15000,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR1708,245,26,1,Married,"4,58",2022-11-21,P10,Cheese Stick,15000,3,45000,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513
TR59461,245,26,1,Married,"4,58",2022-08-17,P5,Thai Tea,4200,4,16800,14,Priangan,Priangan,Modern Trade,-5.45,105.26667
TR72582,245,26,1,Married,"4,58",2022-05-23,P8,Oat,16000,1,16000,14,Priangan,Priangan,Modern Trade,-5.45,105.26667
TR23911,245,26,1,Married,"4,58",2022-12-28,P6,Cashew,18000,2,36000,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR52817,245,26,1,Married,"4,58",2022-12-28,P8,Oat,16000,2,32000,13,Buana,Buana,General Trade,-1.26916,116.825264
TR87745,245,26,1,Married,"4,58",2022-01-27,P5,Thai Tea,4200,4,16800,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR23765,245,26,1,Married,"4,58",2022-06-10,P2,Ginger Candy ,3200,3,9600,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR49507,245,26,1,Married,"4,58",2022-12-27,P10,Cheese Stick,15000,4,60000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR58302,245,26,1,Married,"4,58",2022-06-22,P4,Potato Chip,12000,1,12000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR89571,245,26,1,Married,"4,58",2022-10-22,P5,Thai Tea,4200,5,21000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR11946,96,55,0,Married,"13,67",2022-08-18,P4,Potato Chip,12000,1,12000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR53992,96,55,0,Married,"13,67",2022-01-25,P2,Ginger Candy ,3200,5,16000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR40363,96,55,0,Married,"13,67",2022-04-26,P7,Coffee Candy,9400,2,18800,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR96549,96,55,0,Married,"13,67",2022-05-14,P8,Oat,16000,2,32000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR3197,96,55,0,Married,"13,67",2022-07-11,P3,Crackers,7500,1,7500,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR6476,96,55,0,Married,"13,67",2022-09-15,P5,Thai Tea,4200,5,21000,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR56681,96,55,0,Married,"13,67",2022-04-04,P1,Choco Bar,8800,9,79200,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR80275,96,55,0,Married,"13,67",2022-05-15,P5,Thai Tea,4200,2,8400,13,Buana,Buana,General Trade,-1.26916,116.825264
TR34291,96,55,0,Married,"13,67",2022-09-24,P4,Potato Chip,12000,5,60000,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR14887,96,55,0,Married,"13,67",2022-11-04,P1,Choco Bar,8800,2,17600,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR40538,96,55,0,Married,"13,67",2022-08-08,P9,Yoghurt,10000,7,70000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR12333,411,19,1,Single,0,2022-07-12,P10,Cheese Stick,15000,5,75000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR67993,411,19,1,Single,0,2022-10-23,P9,Yoghurt,10000,2,20000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR37219,411,19,1,Single,0,2022-11-01,P5,Thai Tea,4200,2,8400,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR55592,411,19,1,Single,0,2022-12-05,P5,Thai Tea,4200,2,8400,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR89483,411,19,1,Single,0,2022-05-07,P10,Cheese Stick,15000,1,15000,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR89937,411,19,1,Single,0,2022-08-20,P7,Coffee Candy,9400,5,47000,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR52555,411,19,1,Single,0,2022-04-28,P10,Cheese Stick,15000,2,30000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR13981,443,33,1,Married,"9,28",2022-11-06,P5,Thai Tea,4200,2,8400,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR65307,443,33,1,Married,"9,28",2022-01-15,P5,Thai Tea,4200,4,16800,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR3900,443,33,1,Married,"9,28",2022-02-13,P6,Cashew,18000,2,36000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR22986,443,33,1,Married,"9,28",2022-03-15,P8,Oat,16000,1,16000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR98303,443,33,1,Married,"9,28",2022-04-19,P3,Crackers,7500,1,7500,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR81388,443,33,1,Married,"9,28",2022-10-30,P5,Thai Tea,4200,4,16800,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513
TR66239,443,33,1,Married,"9,28",2022-02-15,P5,Thai Tea,4200,5,21000,14,Priangan,Priangan,Modern Trade,-5.45,105.26667
TR41406,443,33,1,Married,"9,28",2022-03-19,P2,Ginger Candy ,3200,3,9600,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR51422,443,33,1,Married,"9,28",2022-09-02,P1,Choco Bar,8800,8,70400,13,Buana,Buana,General Trade,-1.26916,116.825264
TR63307,443,33,1,Married,"9,28",2022-01-20,P7,Coffee Candy,9400,4,37600,13,Buana,Buana,General Trade,-1.26916,116.825264
TR6857,443,33,1,Married,"9,28",2022-06-01,P7,Coffee Candy,9400,5,47000,13,Buana,Buana,General Trade,-1.26916,116.825264
TR78858,443,33,1,Married,"9,28",2022-09-22,P5,Thai Tea,4200,5,21000,13,Buana,Buana,General Trade,-1.26916,116.825264
TR33855,443,33,1,Married,"9,28",2022-05-19,P10,Cheese Stick,15000,5,75000,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR80548,443,33,1,Married,"9,28",2022-10-29,P9,Yoghurt,10000,4,40000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR99503,443,33,1,Married,"9,28",2022-07-09,P6,Cashew,18000,1,18000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR65931,443,33,1,Married,"9,28",2022-05-19,P1,Choco Bar,8800,5,44000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR14097,14,58,1,Married,"10,18",2022-08-01,P6,Cashew,18000,2,36000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR76746,14,58,1,Married,"10,18",2022-09-15,P5,Thai Tea,4200,3,12600,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR94244,14,58,1,Married,"10,18",2022-09-11,P8,Oat,16000,3,48000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR16773,14,58,1,Married,"10,18",2022-01-23,P6,Cashew,18000,1,18000,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR45309,14,58,1,Married,"10,18",2022-04-05,P1,Choco Bar,8800,6,52800,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR57267,14,58,1,Married,"10,18",2022-10-17,P3,Crackers,7500,1,7500,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR26498,14,58,1,Married,"10,18",2022-07-01,P9,Yoghurt,10000,5,50000,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513
TR27157,14,58,1,Married,"10,18",2022-08-02,P7,Coffee Candy,9400,4,37600,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513
TR30993,14,58,1,Married,"10,18",2022-01-02,P10,Cheese Stick,15000,2,30000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR60792,14,58,1,Married,"10,18",2022-01-30,P8,Oat,16000,1,16000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR62377,14,58,1,Married,"10,18",2022-03-05,P10,Cheese Stick,15000,4,60000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR14139,423,22,0,Married,"3,55",2022-05-21,P9,Yoghurt,10000,3,30000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR68225,423,22,0,Married,"3,55",2022-06-28,P9,Yoghurt,10000,5,50000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR74947,423,22,0,Married,"3,55",2022-04-11,P4,Potato Chip,12000,2,24000,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR4070,423,22,0,Married,"3,55",2022-04-16,P1,Choco Bar,8800,8,70400,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR40982,423,22,0,Married,"3,55",2022-03-27,P5,Thai Tea,4200,3,12600,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR95596,423,22,0,Married,"3,55",2022-08-29,P8,Oat,16000,1,16000,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR21972,423,22,0,Married,"3,55",2022-04-01,P4,Potato Chip,12000,4,48000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR68932,423,22,0,Married,"3,55",2022-11-11,P4,Potato Chip,12000,5,60000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR25908,423,22,0,Married,"3,55",2022-03-15,P7,Coffee Candy,9400,5,47000,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR95280,423,22,0,Married,"3,55",2022-01-16,P10,Cheese Stick,15000,1,15000,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513
TR39399,423,22,0,Married,"3,55",2022-06-28,P1,Choco Bar,8800,4,35200,14,Priangan,Priangan,Modern Trade,-5.45,105.26667
TR43932,423,22,0,Married,"3,55",2022-06-04,P1,Choco Bar,8800,3,26400,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR1186,423,22,0,Married,"3,55",2022-01-25,P4,Potato Chip,12000,5,60000,13,Buana,Buana,General Trade,-1.26916,116.825264
TR47515,423,22,0,Married,"3,55",2022-08-19,P10,Cheese Stick,15000,3,45000,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR40755,423,22,0,Married,"3,55",2022-11-15,P3,Crackers,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR6832,423,22,0,Married,"3,55",2022-08-30,P3,Crackers,7500,6,45000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR14185,264,21,1,Single,"1,12",2022-12-30,P2,Ginger Candy ,3200,4,12800,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR95626,264,21,1,Single,"1,12",2022-09-20,P10,Cheese Stick,15000,5,75000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR16814,264,21,1,Single,"1,12",2022-11-17,P4,Potato Chip,12000,3,36000,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR21464,264,21,1,Single,"1,12",2022-12-29,P6,Cashew,18000,3,54000,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR33511,264,21,1,Single,"1,12",2022-06-16,P3,Crackers,7500,4,30000,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR45595,264,21,1,Single,"1,12",2022-09-03,P7,Coffee Candy,9400,2,18800,9,Lingga,Lingga,Modern Trade,-3.654703,128.190643
TR28003,264,21,1,Single,"1,12",2022-09-18,P10,Cheese Stick,15000,5,75000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR37397,264,21,1,Single,"1,12",2022-08-26,P10,Cheese Stick,15000,4,60000,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR10194,264,21,1,Single,"1,12",2022-08-07,P8,Oat,16000,2,32000,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR97562,264,21,1,Single,"1,12",2022-01-06,P5,Thai Tea,4200,3,12600,14,Priangan,Priangan,Modern Trade,-5.45,105.26667
TR12572,264,21,1,Single,"1,12",2022-01-17,P1,Choco Bar,8800,8,70400,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR15642,264,21,1,Single,"1,12",2022-10-13,P5,Thai Tea,4200,3,12600,1,Prima Tendean,Prima,Modern Trade,-6.2,106.816666
TR14344,300,25,1,Single,"4,22",2022-01-15,P7,Coffee Candy,9400,2,18800,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR33187,300,25,1,Single,"4,22",2022-02-10,P4,Potato Chip,12000,1,12000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR45064,300,25,1,Single,"4,22",2022-05-11,P6,Cashew,18000,1,18000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR89196,300,25,1,Single,"4,22",2022-12-18,P3,Crackers,7500,1,7500,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR27877,300,25,1,Single,"4,22",2022-09-11,P5,Thai Tea,4200,3,12600,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR18049,300,25,1,Single,"4,22",2022-12-08,P8,Oat,16000,3,48000,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR26170,300,25,1,Single,"4,22",2022-08-21,P10,Cheese Stick,15000,2,30000,2,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238
TR30585,300,25,1,Single,"4,22",2022-04-19,P5,Thai Tea,4200,3,12600,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR70742,300,25,1,Single,"4,22",2022-05-06,P2,Ginger Candy ,3200,3,9600,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR88521,300,25,1,Single,"4,22",2022-03-11,P3,Crackers,7500,2,15000,8,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753
TR61573,300,25,1,Single,"4,22",2022-05-12,P5,Thai Tea,4200,3,12600,10,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513
TR34125,300,25,1,Single,"4,22",2022-09-29,P5,Thai Tea,4200,2,8400,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR10884,300,25,1,Single,"4,22",2022-03-02,P9,Yoghurt,10000,1,10000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR14816,425,58,1,Married,"7,22",2022-04-28,P5,Thai Tea,4200,4,16800,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR21587,425,58,1,Married,"7,22",2022-10-17,P4,Potato Chip,12000,1,12000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR37234,425,58,1,Married,"7,22",2022-03-02,P5,Thai Tea,4200,5,21000,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
TR82771,425,58,1,Married,"7,22",2022-05-04,P5,Thai Tea,4200,5,21000,5,Bonafid,Gita,General Trade,-7.250445,112.768845
TR1846,425,58,1,Married,"7,22",2022-08-25,P4,Potato Chip,12000,3,36000,3,Prima Kota,Prima,Modern Trade,-7.797068,110.370529
TR93268,425,58,1,Married,"7,22",2022-11-26,P6,Cashew,18000,4,72000,6,Lingga,Lingga,Modern Trade,-5.135399,119.42379
TR95986,425,58,1,Married,"7,22",2022-04-16,P10,Cheese Stick,15000,3,45000,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554
TR14963,374,32,0,Single,"5,4",2022-12-16,P4,Potato Chip,12000,5,60000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR52740,374,32,0,Single,"5,4",2022-12-17,P8,Oat,16000,1,16000,4,Gita Ginara,Gita,General Trade,-6.966667,110.416664
TR21840,374,32,0,Single,"5,4",2022-04-01,P9,Yoghurt,10000,6,60000,7,Buana Indah,Buana,General Trade,3.316694,114.590111
TR23581,374,32,0,Single,"5,4",2022-08-17,P6,Cashew,18000,3,54000,11,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403
